RegionID,RegionName,2010_6_30,2020_6_30,absolute,relative
54296,San Diego,432587,688174,255587,0.590833751
51405,Chula Vista,340576,578008,237432,0.69714836
6285,Oceanside,344274,575422,231148,0.671407077
11337,Escondido,344083,563416,219333,0.637442129
38333,El Cajon,354769,556666,201897,0.569094256
41517,Vista,341882,573592,231710,0.677748463
3975,Carlsbad,602077,917103,315026,0.523232078
40737,San Marcos,382803,619046,236243,0.617139887
41025,Spring Valley,302067,526259,224192,0.742192957
46089,La Mesa,388428,611447,223019,0.574157888
45164,Encinitas,754033,1200156,446123,0.591649172
53487,National City,232391,471236,238845,1.02777216
6943,Santee,341726,559564,217838,0.637463933
20044,Poway,535063,778006,242943,0.454045598
11400,Fallbrook,399030,602087,203057,0.508876526
21991,Lakeside,352695,553911,201216,0.570509931
43354,Ramona,366133,565289,199156,0.543944414
5265,Imperial Beach,292351,643561,351210,1.201329908
25547,Lemon Grove,287436,514252,226816,0.789100878
17587,Coronado,713516,1897066,1183550,1.658757477
7662,Valley Center,430797,627667,196870,0.456990183
43867,Alpine,471085,669622,198537,0.421446236
30526,Bonita,435054,725473,290419,0.667547017
20544,Solana Beach,625800,1465833,840033,1.342334612
45919,Jamul,485595,707198,221603,0.456353546
13436,Rancho Santa Fe,1922539,2554084,631545,0.328495287
17114,Bonsall,441726,652510,210784,0.477182688
24373,Descanso,336909,448896,111987,0.332395395
23931,Campo,219992,337727,117735,0.535178552
8185,Del Mar,732287,2462845,1730558,2.363223709
15441,Dulzura,315664,492868,177204,0.561369051
25341,Julian,294744,390632,95888,0.325326385
17124,Borrego Springs,229519,223953,-5566,-0.024250716
16563,Pauma Valley,409573,548077,138504,0.338166823
55036,Warner Springs,267733,325487,57754,0.21571491
53784,Pala,486143,675592,189449,0.389698093
29343,Santa Ysabel,326341,472595,146254,0.448163118
48738,Boulevard,248973,290464,41491,0.166648592
40342,Pine Valley,237232,341170,103938,0.438128077
13378,Potrero,251481,352104,100623,0.400121679
6388,Palomar Mountain,272352,316346,43994,0.161533604
