DateTime,HomePrice,RegionName,MonthlyChange,LastValue,Rank,Year
2010/6/30,471085,Alpine,0,0,10,2010.5000000 
2010/6/30,435054,Bonita,0,0,12,2010.5000000 
2010/6/30,441726,Bonsall,0,0,11,2010.5000000 
2010/6/30,229519,Borrego Springs,0,0,40,2010.5000000 
2010/6/30,248973,Boulevard,0,0,37,2010.5000000 
2010/6/30,219992,Campo,0,0,41,2010.5000000 
2010/6/30,602077,Carlsbad,0,0,6,2010.5000000 
2010/6/30,340576,Chula Vista,0,0,26,2010.5000000 
2010/6/30,713516,Coronado,0,0,4,2010.5000000 
2010/6/30,732287,Del Mar,0,0,3,2010.5000000 
2010/6/30,336909,Descanso,0,0,27,2010.5000000 
2010/6/30,315664,Dulzura,0,0,29,2010.5000000 
2010/6/30,354769,El Cajon,0,0,20,2010.5000000 
2010/6/30,754033,Encinitas,0,0,2,2010.5000000 
2010/6/30,344083,Escondido,0,0,23,2010.5000000 
2010/6/30,399030,Fallbrook,0,0,16,2010.5000000 
2010/6/30,292351,Imperial Beach,0,0,32,2010.5000000 
2010/6/30,485595,Jamul,0,0,9,2010.5000000 
2010/6/30,294744,Julian,0,0,31,2010.5000000 
2010/6/30,388428,La Mesa,0,0,17,2010.5000000 
2010/6/30,352695,Lakeside,0,0,21,2010.5000000 
2010/6/30,287436,Lemon Grove,0,0,33,2010.5000000 
2010/6/30,232391,National City,0,0,39,2010.5000000 
2010/6/30,344274,Oceanside,0,0,22,2010.5000000 
2010/6/30,486143,Pala,0,0,8,2010.5000000 
2010/6/30,272352,Palomar Mountain,0,0,34,2010.5000000 
2010/6/30,409573,Pauma Valley,0,0,15,2010.5000000 
2010/6/30,237232,Pine Valley,0,0,38,2010.5000000 
2010/6/30,251481,Potrero,0,0,36,2010.5000000 
2010/6/30,535063,Poway,0,0,7,2010.5000000 
2010/6/30,366133,Ramona,0,0,19,2010.5000000 
2010/6/30,1922539,Rancho Santa Fe,0,0,1,2010.5000000 
2010/6/30,432587,San Diego,0,0,13,2010.5000000 
2010/6/30,382803,San Marcos,0,0,18,2010.5000000 
2010/6/30,326341,Santa Ysabel,0,0,28,2010.5000000 
2010/6/30,341726,Santee,0,0,25,2010.5000000 
2010/6/30,625800,Solana Beach,0,0,5,2010.5000000 
2010/6/30,302067,Spring Valley,0,0,30,2010.5000000 
2010/6/30,430797,Valley Center,0,0,14,2010.5000000 
2010/6/30,341882,Vista,0,0,24,2010.5000000 
2010/6/30,267733,Warner Springs,0,0,35,2010.5000000 
2010/7/31,467416,Alpine,-0.7788403,471085,10,2010.5833333 
2010/7/31,434581,Bonita,-0.1087221,435054,12,2010.5833333 
2010/7/31,438975,Bonsall,-0.6227843,441726,11,2010.5833333 
2010/7/31,226206,Borrego Springs,-1.4434535,229519,40,2010.5833333 
2010/7/31,244390,Boulevard,-1.8407618,248973,37,2010.5833333 
2010/7/31,215515,Campo,-2.035074,219992,41,2010.5833333 
2010/7/31,597835,Carlsbad,-0.704561,602077,6,2010.5833333 
2010/7/31,338398,Chula Vista,-0.6395048,340576,26,2010.5833333 
2010/7/31,708462,Coronado,-0.7083233,713516,4,2010.5833333 
2010/7/31,741762,Del Mar,1.2938916,732287,3,2010.5833333 
2010/7/31,333961,Descanso,-0.8750137,336909,27,2010.5833333 
2010/7/31,314993,Dulzura,-0.2125678,315664,29,2010.5833333 
2010/7/31,352060,El Cajon,-0.7635955,354769,20,2010.5833333 
2010/7/31,751020,Encinitas,-0.3995846,754033,2,2010.5833333 
2010/7/31,343359,Escondido,-0.2104143,344083,22,2010.5833333 
2010/7/31,397889,Fallbrook,-0.2859434,399030,16,2010.5833333 
2010/7/31,290865,Imperial Beach,-0.5082931,292351,32,2010.5833333 
2010/7/31,481224,Jamul,-0.9001328,485595,9,2010.5833333 
2010/7/31,292586,Julian,-0.7321608,294744,31,2010.5833333 
2010/7/31,384724,La Mesa,-0.9535873,388428,17,2010.5833333 
2010/7/31,349563,Lakeside,-0.8880194,352695,21,2010.5833333 
2010/7/31,286622,Lemon Grove,-0.2831935,287436,33,2010.5833333 
2010/7/31,231119,National City,-0.5473534,232391,39,2010.5833333 
2010/7/31,342782,Oceanside,-0.4333757,344274,23,2010.5833333 
2010/7/31,483927,Pala,-0.455833,486143,8,2010.5833333 
2010/7/31,274459,Palomar Mountain,0.7736312,272352,34,2010.5833333 
2010/7/31,407826,Pauma Valley,-0.4265418,409573,15,2010.5833333 
2010/7/31,233343,Pine Valley,-1.6393235,237232,38,2010.5833333 
2010/7/31,251481,Potrero,0,251481,36,2010.5833333 
2010/7/31,531414,Poway,-0.6819758,535063,7,2010.5833333 
2010/7/31,360969,Ramona,-1.4104164,366133,19,2010.5833333 
2010/7/31,1918334,Rancho Santa Fe,-0.2187212,1922539,1,2010.5833333 
2010/7/31,429527,San Diego,-0.7073722,432587,13,2010.5833333 
2010/7/31,380936,San Marcos,-0.4877182,382803,18,2010.5833333 
2010/7/31,321644,Santa Ysabel,-1.439292,326341,28,2010.5833333 
2010/7/31,339115,Santee,-0.7640624,341726,25,2010.5833333 
2010/7/31,622680,Solana Beach,-0.4985618,625800,5,2010.5833333 
2010/7/31,300976,Spring Valley,-0.3611781,302067,30,2010.5833333 
2010/7/31,428830,Valley Center,-0.4565956,430797,14,2010.5833333 
2010/7/31,341261,Vista,-0.1816416,341882,24,2010.5833333 
2010/7/31,263626,Warner Springs,-1.533991,267733,35,2010.5833333 
2010/8/31,464718,Alpine,-0.577216,467416,10,2010.6666666 
2010/8/31,435958,Bonita,0.3168569,434581,12,2010.6666666 
2010/8/31,438782,Bonsall,-0.0439661,438975,11,2010.6666666 
2010/8/31,223364,Borrego Springs,-1.2563769,226206,40,2010.6666666 
2010/8/31,241143,Boulevard,-1.3286141,244390,37,2010.6666666 
2010/8/31,212546,Campo,-1.3776303,215515,41,2010.6666666 
2010/8/31,596944,Carlsbad,-0.1490378,597835,6,2010.6666666 
2010/8/31,337721,Chula Vista,-0.2000603,338398,25,2010.6666666 
2010/8/31,707659,Coronado,-0.1133441,708462,4,2010.6666666 
2010/8/31,751110,Del Mar,1.2602425,741762,2,2010.6666666 
2010/8/31,331754,Descanso,-0.6608556,333961,27,2010.6666666 
2010/8/31,313207,Dulzura,-0.5669967,314993,29,2010.6666666 
2010/8/31,350815,El Cajon,-0.3536329,352060,20,2010.6666666 
2010/8/31,750588,Encinitas,-0.0575218,751020,3,2010.6666666 
2010/8/31,344434,Escondido,0.3130834,343359,22,2010.6666666 
2010/8/31,397997,Fallbrook,0.0271432,397889,16,2010.6666666 
2010/8/31,291844,Imperial Beach,0.3365823,290865,32,2010.6666666 
2010/8/31,477789,Jamul,-0.7138048,481224,9,2010.6666666 
2010/8/31,291963,Julian,-0.2129288,292586,31,2010.6666666 
2010/8/31,382086,La Mesa,-0.6856864,384724,17,2010.6666666 
2010/8/31,347920,Lakeside,-0.4700154,349563,21,2010.6666666 
2010/8/31,286090,Lemon Grove,-0.1856103,286622,33,2010.6666666 
2010/8/31,230800,National City,-0.1380241,231119,38,2010.6666666 
2010/8/31,343196,Oceanside,0.1207765,342782,23,2010.6666666 
2010/8/31,480225,Pala,-0.7649914,483927,8,2010.6666666 
2010/8/31,277913,Palomar Mountain,1.2584758,274459,34,2010.6666666 
2010/8/31,406002,Pauma Valley,-0.4472496,407826,15,2010.6666666 
2010/8/31,230755,Pine Valley,-1.1090969,233343,39,2010.6666666 
2010/8/31,251393,Potrero,-0.0349927,251481,36,2010.6666666 
2010/8/31,529597,Poway,-0.341918,531414,7,2010.6666666 
2010/8/31,358688,Ramona,-0.6319102,360969,19,2010.6666666 
2010/8/31,1932649,Rancho Santa Fe,0.7462204,1918334,1,2010.6666666 
2010/8/31,428668,San Diego,-0.1999874,429527,13,2010.6666666 
2010/8/31,381524,San Marcos,0.1543566,380936,18,2010.6666666 
2010/8/31,322722,Santa Ysabel,0.3351532,321644,28,2010.6666666 
2010/8/31,336973,Santee,-0.6316441,339115,26,2010.6666666 
2010/8/31,623834,Solana Beach,0.1853279,622680,5,2010.6666666 
2010/8/31,300573,Spring Valley,-0.1338977,300976,30,2010.6666666 
2010/8/31,427961,Valley Center,-0.2026444,428830,14,2010.6666666 
2010/8/31,342896,Vista,0.4791054,341261,24,2010.6666666 
